"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"01.01.2017 00:00 - 01.01.2017 01:00","7417","6816"
"01.01.2017 01:00 - 01.01.2017 02:00","7420","6536"
"01.01.2017 02:00 - 01.01.2017 03:00","7521","6902"
"01.01.2017 03:00 - 01.01.2017 04:00","7531","6987"
"01.01.2017 04:00 - 01.01.2017 05:00","7167","6910"
"01.01.2017 05:00 - 01.01.2017 06:00","7440","6693"
"01.01.2017 06:00 - 01.01.2017 07:00","7125","6550"
"01.01.2017 07:00 - 01.01.2017 08:00","7121","6195"
"01.01.2017 08:00 - 01.01.2017 09:00","7122","5898"
"01.01.2017 09:00 - 01.01.2017 10:00","6965","6316"
"01.01.2017 10:00 - 01.01.2017 11:00","6958","6470"
"01.01.2017 11:00 - 01.01.2017 12:00","6569","6451"
"01.01.2017 12:00 - 01.01.2017 13:00","6575","6146"
"01.01.2017 13:00 - 01.01.2017 14:00","6585","6525"
"01.01.2017 14:00 - 01.01.2017 15:00","6578","6484"
"01.01.2017 15:00 - 01.01.2017 16:00","6574","6205"
"01.01.2017 16:00 - 01.01.2017 17:00","6566","6135"
"01.01.2017 17:00 - 01.01.2017 18:00","6541","6483"
"01.01.2017 18:00 - 01.01.2017 19:00","6899","6931"
"01.01.2017 19:00 - 01.01.2017 20:00","7285","6985"
"01.01.2017 20:00 - 01.01.2017 21:00","7325","6889"
"01.01.2017 21:00 - 01.01.2017 22:00","7328","6682"
"01.01.2017 22:00 - 01.01.2017 23:00","7273","6507"
"01.01.2017 23:00 - 02.01.2017 00:00","7304","6387"
"02.01.2017 00:00 - 02.01.2017 01:00","7284","6832"
"02.01.2017 01:00 - 02.01.2017 02:00","7170","6679"
"02.01.2017 02:00 - 02.01.2017 03:00","7273","6915"
"02.01.2017 03:00 - 02.01.2017 04:00","7287","6932"
"02.01.2017 04:00 - 02.01.2017 05:00","7228","6853"
"02.01.2017 05:00 - 02.01.2017 06:00","7303","6773"
"02.01.2017 06:00 - 02.01.2017 07:00","7374","6832"
"02.01.2017 07:00 - 02.01.2017 08:00","7280","6372"
"02.01.2017 08:00 - 02.01.2017 09:00","7414","6131"
"02.01.2017 09:00 - 02.01.2017 10:00","7193","6399"
"02.01.2017 10:00 - 02.01.2017 11:00","7150","6662"
"02.01.2017 11:00 - 02.01.2017 12:00","7365","6803"
"02.01.2017 12:00 - 02.01.2017 13:00","7228","6663"
"02.01.2017 13:00 - 02.01.2017 14:00","7715","6888"
"02.01.2017 14:00 - 02.01.2017 15:00","7862","6756"
"02.01.2017 15:00 - 02.01.2017 16:00","7563","6602"
"02.01.2017 16:00 - 02.01.2017 17:00","8130","6605"
"02.01.2017 17:00 - 02.01.2017 18:00","8594","6926"
"02.01.2017 18:00 - 02.01.2017 19:00","8758","7466"
"02.01.2017 19:00 - 02.01.2017 20:00","8262","7550"
"02.01.2017 20:00 - 02.01.2017 21:00","7686","7320"
"02.01.2017 21:00 - 02.01.2017 22:00","7958","7020"
"02.01.2017 22:00 - 02.01.2017 23:00","7961","6820"
"02.01.2017 23:00 - 03.01.2017 00:00","7782","6882"
"03.01.2017 00:00 - 03.01.2017 01:00","7976","6726"
"03.01.2017 01:00 - 03.01.2017 02:00","7750","7071"
"03.01.2017 02:00 - 03.01.2017 03:00","7658","7339"
"03.01.2017 03:00 - 03.01.2017 04:00","7744","7257"
"03.01.2017 04:00 - 03.01.2017 05:00","7814","7206"
"03.01.2017 05:00 - 03.01.2017 06:00","7727","7046"
"03.01.2017 06:00 - 03.01.2017 07:00","8093","7252"
"03.01.2017 07:00 - 03.01.2017 08:00","8357","7147"
"03.01.2017 08:00 - 03.01.2017 09:00","9266","7448"
"03.01.2017 09:00 - 03.01.2017 10:00","8967","7943"
"03.01.2017 10:00 - 03.01.2017 11:00","8871","8123"
"03.01.2017 11:00 - 03.01.2017 12:00","8606","8096"
"03.01.2017 12:00 - 03.01.2017 13:00","9220","7961"
"03.01.2017 13:00 - 03.01.2017 14:00","8752","7974"
"03.01.2017 14:00 - 03.01.2017 15:00","8462","7870"
"03.01.2017 15:00 - 03.01.2017 16:00","8470","7742"
"03.01.2017 16:00 - 03.01.2017 17:00","8442","7755"
"03.01.2017 17:00 - 03.01.2017 18:00","8874","7960"
"03.01.2017 18:00 - 03.01.2017 19:00","9347","8417"
"03.01.2017 19:00 - 03.01.2017 20:00","9019","8472"
"03.01.2017 20:00 - 03.01.2017 21:00","8612","8159"
"03.01.2017 21:00 - 03.01.2017 22:00","8340","7732"
"03.01.2017 22:00 - 03.01.2017 23:00","8393","7388"
"03.01.2017 23:00 - 04.01.2017 00:00","8238","7283"
"04.01.2017 00:00 - 04.01.2017 01:00","N/A","7098"
"04.01.2017 01:00 - 04.01.2017 02:00","N/A","7010"
"04.01.2017 02:00 - 04.01.2017 03:00","N/A","6974"
"04.01.2017 03:00 - 04.01.2017 04:00","N/A","7097"
"04.01.2017 04:00 - 04.01.2017 05:00","N/A","7175"
"04.01.2017 05:00 - 04.01.2017 06:00","N/A","7025"
"04.01.2017 06:00 - 04.01.2017 07:00","N/A","6945"
"04.01.2017 07:00 - 04.01.2017 08:00","N/A","7096"
"04.01.2017 08:00 - 04.01.2017 09:00","N/A","7655"
"04.01.2017 09:00 - 04.01.2017 10:00","N/A","8130"
"04.01.2017 10:00 - 04.01.2017 11:00","N/A","8320"
"04.01.2017 11:00 - 04.01.2017 12:00","N/A","8332"
"04.01.2017 12:00 - 04.01.2017 13:00","N/A","8252"
"04.01.2017 13:00 - 04.01.2017 14:00","N/A","8323"
"04.01.2017 14:00 - 04.01.2017 15:00","N/A","8284"
"04.01.2017 15:00 - 04.01.2017 16:00","N/A","8146"
"04.01.2017 16:00 - 04.01.2017 17:00","N/A","8093"
"04.01.2017 17:00 - 04.01.2017 18:00","N/A","8220"
"04.01.2017 18:00 - 04.01.2017 19:00","N/A","8515"
"04.01.2017 19:00 - 04.01.2017 20:00","N/A","8522"
"04.01.2017 20:00 - 04.01.2017 21:00","N/A","8186"
