"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"01.01.2015 00:00 - 01.01.2015 01:00","7654","7597"
"01.01.2015 01:00 - 01.01.2015 02:00","7687","7632"
"01.01.2015 02:00 - 01.01.2015 03:00","7696","7640"
"01.01.2015 03:00 - 01.01.2015 04:00","7448","7391"
"01.01.2015 04:00 - 01.01.2015 05:00","7382","7333"
"01.01.2015 05:00 - 01.01.2015 06:00","7047","7002"
"01.01.2015 06:00 - 01.01.2015 07:00","7087","7043"
"01.01.2015 07:00 - 01.01.2015 08:00","6870","6837"
"01.01.2015 08:00 - 01.01.2015 09:00","6650","6617"
"01.01.2015 09:00 - 01.01.2015 10:00","6593","6560"
"01.01.2015 10:00 - 01.01.2015 11:00","6845","6810"
"01.01.2015 11:00 - 01.01.2015 12:00","6871","6837"
"01.01.2015 12:00 - 01.01.2015 13:00","6642","6611"
"01.01.2015 13:00 - 01.01.2015 14:00","7174","7136"
"01.01.2015 14:00 - 01.01.2015 15:00","7106","7071"
"01.01.2015 15:00 - 01.01.2015 16:00","7114","7079"
"01.01.2015 16:00 - 01.01.2015 17:00","7110","7075"
"01.01.2015 17:00 - 01.01.2015 18:00","7359","7323"
"01.01.2015 18:00 - 01.01.2015 19:00","7658","7617"
"01.01.2015 19:00 - 01.01.2015 20:00","7842","7801"
"01.01.2015 20:00 - 01.01.2015 21:00","7745","7706"
"01.01.2015 21:00 - 01.01.2015 22:00","7482","7445"
"01.01.2015 22:00 - 01.01.2015 23:00","7392","7358"
"01.01.2015 23:00 - 02.01.2015 00:00","7494","7449"
"02.01.2015 00:00 - 02.01.2015 01:00","7285","7234"
"02.01.2015 01:00 - 02.01.2015 02:00","7117","7064"
"02.01.2015 02:00 - 02.01.2015 03:00","7097","7044"
"02.01.2015 03:00 - 02.01.2015 04:00","7233","7184"
"02.01.2015 04:00 - 02.01.2015 05:00","7147","7104"
"02.01.2015 05:00 - 02.01.2015 06:00","7014","6972"
"02.01.2015 06:00 - 02.01.2015 07:00","6828","6786"
"02.01.2015 07:00 - 02.01.2015 08:00","6814","6780"
"02.01.2015 08:00 - 02.01.2015 09:00","6728","6692"
"02.01.2015 09:00 - 02.01.2015 10:00","6854","6817"
"02.01.2015 10:00 - 02.01.2015 11:00","7136","7097"
"02.01.2015 11:00 - 02.01.2015 12:00","7242","7205"
"02.01.2015 12:00 - 02.01.2015 13:00","7155","7120"
"02.01.2015 13:00 - 02.01.2015 14:00","7557","7516"
"02.01.2015 14:00 - 02.01.2015 15:00","7484","7446"
"02.01.2015 15:00 - 02.01.2015 16:00","7344","7307"
"02.01.2015 16:00 - 02.01.2015 17:00","7313","7276"
"02.01.2015 17:00 - 02.01.2015 18:00","7543","7504"
"02.01.2015 18:00 - 02.01.2015 19:00","8102","8060"
"02.01.2015 19:00 - 02.01.2015 20:00","8198","8157"
"02.01.2015 20:00 - 02.01.2015 21:00","7959","7919"
"02.01.2015 21:00 - 02.01.2015 22:00","7583","7545"
"02.01.2015 22:00 - 02.01.2015 23:00","7406","7372"
"02.01.2015 23:00 - 03.01.2015 00:00","7422","7378"
"03.01.2015 00:00 - 03.01.2015 01:00","7149","7100"
"03.01.2015 01:00 - 03.01.2015 02:00","6984","6934"
"03.01.2015 02:00 - 03.01.2015 03:00","6977","6927"
"03.01.2015 03:00 - 03.01.2015 04:00","7032","6984"
"03.01.2015 04:00 - 03.01.2015 05:00","6958","6916"
"03.01.2015 05:00 - 03.01.2015 06:00","6791","6750"
"03.01.2015 06:00 - 03.01.2015 07:00","6895","6855"
"03.01.2015 07:00 - 03.01.2015 08:00","6922","6891"
